address,latitude,longitude
"2029 CENTURY PARK EAST, CENTURY CITY 90067",34.0594689,-118.413944
"260 N PASS AVE, BURBANK 91505",34.1548211,-118.3450368
"11819 WILSHIRE BLVD, BRENTWOOD 90049",34.048149,-118.4630618
"9930 S SANTA MONICA, BEVERLY HILLS 90212",34.0648324,-118.4124898
"4165 E LIVE OAK AVE, ARCADIA 91006",34.1101449,-118.0126633
"2696 DAWSON AVE, SIGNAL HILL 90814",33.7735167,-118.1655691
"1424 4TH ST, SANTA MONICA 90401",34.0157215,-118.4947703
"4607 PROSPECT AVE, LOS FELIZ 90027",34.102074,-118.2897866
"1200 FOOTHILL BLVD, LA CANADA 91011",34.206306,-118.205696
"202 W BROADWAY, ANAHEIM 92805",33.8326082,-117.915218
"12502 VAN NUYS BLVD #109, PACOIMA/ARLETA 91331",34.2778393,-118.4054026
"16342 FOOTHILL BLVD, FONTANA 92335",34.1068498,-117.4479367
"920 FREMONT AVE, SOUTH PASADENA 91030",34.115043,-118.152747
"6700 W 83RD ST, WESTCHESTER 90045",33.9631099,-118.4065372
"4832 COCHRAN ST # 213, SIMI 93063",34.2783305,-118.6995544
"45 E LAUREL AVE, SIERRA MADRE 91024",34.1656151,-118.0514856
"1343 OCEAN PARK BLVD, SANTA MONICA 90405",34.0105458,-118.4708061
"1422 S WILTON PLACE, LOS ANGELES 90019",34.0455719,-118.3143691
"835 W 34TH ST, LOS ANGELES 90089",34.0232434,-118.2849802
"3743 N TYLER AVE, EL MONTE 92025",34.0781686,-118.0338748
"346 CATALINA AVE, CATALINA ISLAND/AVALON 90704",,
"1125 N MCCADDEN PL, HOLLYWOOD 90038",,
"10822 WILSHIRE BLVD(VIA ASHTON), WESTWOOD 90024",,
"2930 HYPERION AVE, SILVERLAKE 90027",,
"1220 2ND STREET, SANTA MONICA 90401",,
"633 KENSINGTON RD, SANTA MONICA 90405",,
"22669 PACIFIC COAST HWY, MALIBU 90265",,
"12838 ATLANTIC AVE, LYNWOOD 90262",,
"11301 WILSHIRE BLVD, LOS ANGELES 90073",,
"104 E AVENUE K-4, LANCASTER 93535",,
"4459 LOWELL AVE, LA CRESCENTA 91042",,
"155 S BIMINI PL, LOS ANGELES 90004",,
"10TH  and  B STS, CHINO 91710",,
"12000 SAN VICENTE BLVD, BRENTWOOD 90049",,
"7056 WASHINGTON AVE, WHITTIER 90602",,
"7929 MELROSE AVE, LOS ANGELES 90046",,
"3646 NEWTON PL, TORRANCE 90505",,
"1440 TOPANGA CYN BLVD, TOPANGA 90290",,
"5056 VAN NUYS BLVD, SHERMAN OAKS 91403",,
"10158 JOHANNA AVE, SHADOW HILLS 91040",,
"1515 MAPLE ST, SANTA MONICA 90405",,
"1062 N FAIR OAKS AVE, PASADENA 91103",,
"11050 HARTSOOK ST, NORTH HOLLYWOOD 91601",,
"1701 LAUREL AVE, MANHATTAN BEACH 90266",,
"1637 BUTLER AVE, LOS ANGELES 90025",,
"317 TERMINO, LONG BEACH 90814",,
"HWY 173, LAKE ARROWHEAD 92352",,
"1195 E 55TH ST., LOS ANGELES 90011",,
"804 E 6TH ST, LOS ANGELES 90013",,
"527 S CROCKER ST, LOS ANGELES 90013",,
"1700 W 162ND ST, GARDENA 90247",,
"1025 MARINE AVE, GARDENA 90247",,
"713 ALHAMBRA TRAIL, FRAZIER PARK 93225",,
"339 SHELDON ST, EL SEGUNDO 90245",,
"9449 E IMPERIAL HIGHWAY, DOWNEY 90242",,
"5700 BUCKINGHAM PARKWAY, CULVER CITY 90230",,
"10824 TOPANGA CYN BLVD, CHATSWORTH 91311",,
"7552 REMMET AVE, CANOGA PARK 91303",,
"27040 MALIBU HILLS RD., CALABASAS/ HIDDEN HILLS 91301",,
"917 W ORANGE GROVE AVE, BURBANK 91506",,
"4428 N STEWART ST, BALDWIN PARK 91706",,
"1881 S 1ST AVE, ARCADIA 91006",,
"460 N ROBERTSON, LOS ANGELES 90048",,
"4464 SEPULVEDA BLVD, CULVER CITY 90230",,
"5312 COMERCIO WAY, WOODLAND HILLS 91364",,
"10005 COLE RD, WHITTIER 90603",,
"580 HILGARD AVE, WESTWOOD 90024",,
"5550 THORNBURN ST, WESTCHESTER 90045",,
"767 CALIFORNIA AVE, VENICE 90291",,
"13630 VICTORY BLVD, VAN NUYS 91401",,
"17620 SHERMAN WAY, VAN NUYS 91406",,
"25815 MCBEAN PKWAY, VALENCIA 91355",,
"869 N EUCLID, UPLAND 91786",,
"1729 CABRILLO AVE, TORRANCE 90501",,
"6220 CORBIN AVE, TARZANA 91356",,
"700 N SUNNYSIDE AVE, SIERRA MADRE 91024",,
"958 LINCOLN BLVD, SANTA MONICA 90403",,
"1003 S BEACON ST, SAN PEDRO 90731",,
"535 W ROSES RD, SAN GABRIEL 91775",,
"449 W 10TH ST, SAN BERNARDINO 92410",,
"400 S BROADWAY, REDONDO BEACH 90277",,
"5721 CRESTRIDGE RD, RANCHO PALOS VERDES 90274",,
"600 N GAREY AVE, POMONA 91768",,
"23481 HWY 243, PINE COVE 92549",,
"409 TOPA TOPA DR, OJAI 93023",,
"6006 LAUREL CANYON BLVD, NORTH HOLLYWOOD 91606",,
"1001 N ROWELL AVE, MANHATTAN BEACH 90266",,
"11166 OHIO AVE, LOS ANGELES 90025",,
"2950 OVERLAND AVE, LOS ANGELES 90064",,
"5901 7TH ST, LONG BEACH 90822",,
"1775 CHESTNUT, LONG BEACH 90806",,
"29851 HIGHLANDS, LAGUNA NIGUEL 92677",,
"1319 S MANHATTAN PLACE, LOS ANGELES 90019",,
"5750 W OLYMPIC BLVD, LOS ANGELES 90036",,
"4771 S MAIN ST, LOS ANGELES 90037",,
"414 W 54TH ST, LOS ANGELES 90037",,
"506 S SAN PEDRO ST, LOS ANGELES 90013",,
"806 E 6TH ST, LOS ANGELES 90013",,
"4903 FOUNTAIN AVE, HOLLYWOOD 90027",,
"6720 MELROSE AVE, HOLLYWOOD 90036",,
"YUCCA  and  B STS, HESPERIA 92345",,
"1649 YOSEMITE DR., EAGLE ROCK 90041",,
"8441 E FLORENCE AVE, DOWNEY 90240",,
"7707 FLORENCE AVE, DOWNEY 90240",,
"10801 S DOWNEY AVE, DOWNEY 90241",,
"1359 E COVINA BLVD, COVINA 91724",,
"19606 CALLA WAY, CANYON COUNTRY (SAUGUS AREA) 91351",,
"23 W FOOTHILL BLVD, ARCADIA 91006",,
"4900 SERRANIA AVE, WOODLAND HILLS 91364",,
"8152 MCFADDEN, WESTMINSTER 92683",,
"610 CALIFORNIA AVE, VENICE 90291",,
"EUCLID  and  C STS., UPLAND 91786",,
"1325 MONTEREY RD, SOUTH PASADENA 91030",,
"14TH ST  and  OLYMPIC BLVD, SANTA MONICA 90404",,
"1750 VIRGINIA ROAD, SAN MARINO 91108",,
"2727 HIGHLAND DR, RUNNING SPRINGS 92382",,
"3647 WATSEKA AVE, PALMS 90034",,
"3333 PENINSULA RD, OXNARD 93035",,
"18400 SUPERIOR ST, NORTHRIDGE 91324",,
"2060 N VERMONT AVE, LOS FELIZ 90027",,
"1989 WESTWOOD BLVD, LOS ANGELES 90025",,
"LOS ALAMITO,1 BLVDK W OF KATELLA, LOS ALAMITOS 90720",,
"5306 ARBOR RD, LAKEWOOD 90808",,
"1945 BROADWAY, LAGUNA BEACH 92651",,
"13701 HILLSBOROUGH RD, LA MIRADA 90638",,
"3903 WILSHIRE BLVD, LOS ANGELES 90010",,
"2000 MAIN ST, HUNTINGTON BEACH 92648",,
"NORTH AVE 56, HIGHLAND PARK 90042",,
"16651 RINALDI ST, GRANADA HILLS 91344",,
"1700 PALOPINTO AVE, GLENDORA 91741",,
"1020 N BRAND AVE, GLENDALE 91202",,
"9845 BELFAST DR, GARDEN GROVE 92844",,
"2109 CHICKASAW AVE, EAGLE ROCK 90041",,
"DIAMOND BAR BLVD  and  MORNING CYN, DIAMOND BAR 91765",,
"4427 OVERLAND AVE, CULVER CITY 90230",,
"VICTORIA  and  THURIN, COSTA MESA 92627",,
"233 W HARRISON AVE, CLAREMONT 91711",,
"7136 WINNETKA AVE, CANOGA PARK 91306",,
"3217 WINONA AVE, BURBANK 91504",,
"446 N VARNEY ST, BURBANK 91502",,
"6711 BEACH BLVD, BUENA PARK 90621",,
"471 S ROXBURY DR, BEVERLY HILLS 90212",,
"ORANGE  and  MAGNOLIA STS, ANAHEIM 92804",,
"650 N BERENDO ST, LOS ANGELES 90004",,
"414 E 32ND ST, NEWPORT BEACH 92663",,
"360 S WESTLAKE AVE, LOS ANGELES 90057",,
"1919 N BEACHWOOD DR, HOLLYWOOD 90068",,
"1559 ECHO PARK AVE, ECHO PARK 90026",,
"VENICE PIER, VENICE 90291",,
"8000 SUNSET BLVD, LOS ANGELES 90046",,
"2423 S CENTRE CITY PARKWAY, ESCONDIDO 92025",,
"23621 S MAIN ST, CARSON 90745",,
"10263 LA CANADA WAY, SHADOW HILLS 91040",,
"OSO  and  MARGUERITA, MISSION VIEJO 92691",,
"346 TERMINO AVE, LONG BEACH 90814",,
"6TH  and  D STS, OXNARD 93030",,
"5751 PLATT AVE, WOODLAND HILLS 91367",,
"4464 SEPULVEDA BLVD, LOS ANGELES 90230",,
"1415 W 5TH, ONTARIO 91762",,
"216 N MALDEN AVE, FULLERTON 92832",,
"637 S VICTORY BLVD, BURBANK 91506",,
"23930 LAKE DR, CRESTLINE 92407",,
"14517 S CRENSHAW BLVD, GARDENA 90249",,
"2615 W MANCHESTER, INGLEWOOD 90305",,
"6333 W 3D ST, LOS ANGELES 90036",,
"647 N SAN VICENTE BLVD, LOS ANGELES 90069",,
"1260 18TH ST, SANTA MONICA 90404",,
"1730 W OLYMIC BLVD # 500, LOS ANGELES 90015",,
"308 WESTWOOD PLAZA, WESTWOOD 90095",,
"1000 E STATE ST, ONTARIO 91761",,
"9090 19TH ST, ALTA LOMA 91701",,
"11967 SUNSET BLVD, BRENTWOOD 90049",,
"1211 N BRAND BLVD, GLENDALE 91202",,
"54295 VILLAGE CENTER DR, IDYLLWILD 92549",,
"8511 S VERMONT, LOS ANGELES 90044",,
"8545 S NORWALK BLVD, LOS NIETOS 90606",,
"8956 VAN ALDEN, NORTHRIDGE 91324",,
"2108 N EUCLID, UPLAND 91784",,
"1111 N MOUNTAIN AVE #7, CLAREMONT 91711",,
"711 S PLYMOUTH BLVD, LOS ANGELES 90005",,
"7TH  and  WILSHIRE, SANTA MONICA 90403",,
"6715 MELROSE, LOS ANGELES 90038",,
"370 CAMPUS DRIVE, ARCADIA 91007",,
"307 AVONDALE AVE, BRENTWOOD 90049",,
"17880 COVINA BLVD, COVINA 91722",,
"11313 W. WASHINGTON BLVD, LOS ANGELES 90066",,
"345 N AVE 57, HIGHLAND PARK 90042",,
"4700 AVALON BLVD, LOS ANGELES 90011",,
"808 FOOTHILL BLVD, LA CANADA 91011",,
"2563 FOOTHILL BLVD, LA CRESCENTA 91214",,
"1702 E AVENUE J, LANCASTER 93535",,
"1733 N NEW HAMPSHIRE AVE, LOS FELIZ 90027",,
"122 S CALIFORNIA, MONROVIA 91016",,
"3007 VAIL AVE, REDONDO BEACH 90278",,
"695 W SIERRA MADRE BLVD, SIERRA MADRE 91024",,
"506 N SOLDANO AVE, AZUSA 91702",,
"9750 FOSTER RD, BELLFLOWER 90706",,
"10337 OLD RIVER SCHOOL RD, DOWNEY 90241",,
"10801 DOWNEY AVE, DOWNEY 90241",,
"1014 HIGHLAND AVE, DUARTE 91010",,
"5720 FOUNTAIN AVE, HOLLYWOOD 90028",,
"3303 W VERNON AVE, LOS ANGELES 90008",,
"601 S SAN PEDRO ST, LOS ANGELES 90013",,
"6301 W OLYMPIC BLVD, LOS ANGELES 90048",,
"222 N EUCLID, LA HABRA 90631",,
"631 N EUCLID ST, LA HABRA 90631",,
"5450 ATHERTON ST, LONG BEACH 90815",,
"4111 KATELLA AVE, LOS ALAMITOS 90720",,
"10700 SANTA MONICA BLVD, LOS ANGELES 90025",,
"30215 MORNING VIEW DR, MALIBU 90265",,
"3701 CARDIFF AVE, PALMS 90034",,
"464 E WALNUT ST, PASADENA 91182",,
"5448 CREST RD, RANCHO PALOS VERDES 90275",,
"225 W 9TH ST, SAN PEDRO 90731",,
"1648 W 9TH ST, SAN PEDRO 90732",,
"1110 BATES AVE, SILVERLAKE 90029",,
"4418 COLDWATER CANYON AVE, STUDIO CITY 91604",,
"543 N FAIRFAX AVE, LOS ANGELES 90048",,
"10931 SANTA MONICA BLVD, WESTWOOD 90024",,
"1260 ARROW HWY #C, UPLAND 91706",,
"18800 NORWALK BLVD, ARTESIA 90701",,
"504 N CAMDEN DR, BEVERLY HILLS 90210",,
"11960 SUNSET BLVD, BRENTWOOD 90049",,
"3838 CENTINELA AVE, LOS ANGELES 90066",,
"1812 VERDUGO BLVD, GLENDALE 91208",,
"1820 LAS PALMAS AVE, HOLLYWOOD 90028",,
"54525 NORTH CIRCLE DR, IDYLLWILD 92549",,
"425 S BROADWAY, LOS ANGELES 90013",,
"2341 E OLYMPIC, LOS ANGELES 90021",,
"1304 S COCHRAN AVE, LOS ANGELES 90019",,
"ST ANNE  and  GLENNEYRE, LAGUNA BEACH 92651",,
"370 JUNIPERO AVE, LONG BEACH 90814",,
"515 E 3D ST., LONG BEACH 90802",,
"2475 BORCHARD RD, NEWBURY PARK 91320",,
"23233 LYONS AVE, NEWHALL 91321",,
"13427 PUMICE ST, NORWALK 90650",,
"120 CHURCH RD, OJAI 93023",,
"ALTADENA DR  and  MOUNTAIN, PASADENA 91107",,
"19620 VANOWEN ST, RESEDA 91335",,
"701 N ORANGE, RIVERSIDE 92501",,
"14132 HUBBARD ST, SAN FERNANDO 91340",,
"325 S PINE ST, SAN GABRIEL 91776",,
"235 S HILL ST, SANTA MONICA 90405",,
"1008 11TH STREET, SANTA MONICA 90403",,
"12220 SEAL BEACH BLVD, SEAL BEACH 90740",,
"5657 LINDLEY AVE, TARZANA 91356",,
"6725 FRIENDS AVE, WHITTIER 90601",,
"4861 LIVERPOOL, YORBA LINDA 92886",,
"2603 MATHEWS AVE, REDONDO BEACH 90278",,
"324 CALLE DE LOS MOLINOS, SAN CLEMENTE 92672",,
"6145 FRANKLIN AVE, HOLLYWOOD 90068",,
"108 W 2ND, LOS ANGELES 90012",,
"801 VIA DE LA PAZ, PACIFIC PALISADES 90272",,
"10497 WILSHIRE BLVD, WESTWOOD 90024",,
"9307 S CENTRAL AVE, LOS ANGELES 90002",,
"2560 HUNTINGTON DR, SAN MARINO 91108",,
"3590 GRAND VIEW BLVD, MAR VISTA 90266",,
"721 S MAIN ST, LOS ANGELES 90018",,
"1444 3RD ST PROMENADE, SANTA MONICA 90401",,
"14401 DICKENS ST, SHERMAN OAKS 91423",,
"8005 S FIGUEROA ST, LOS ANGELES 90003",,
"26825 ROLLING HILLS RD, ROLLING HILLS 90274",,
"111 N HOPE ST, LOS ANGELES 90012",,
"1534 W VERNON AVE, LOS ANGELES 90062",,
"SANTA ANITA RACE TRACK GATE 7, ARCADIA 91007",,
"9300 CRENSHAW BLVD, INGLEWOOD 90305",,
"9702 S HOLMES AVE, LOS ANGELES 90002",,
"1243 ARTESIA BLVD, MANHATTAN BEACH 90266",,
"15125 JANINE DRIVE, WHITTIER 90605",,
"370 CAMPUS DR, ARCADIA 91007",,
"17727 E CYPRESS ST, COVINA 91722",,
"16110 LA SALLE AVE, GARDENA 90247",,
"8722 CRENSHAW BLVD, INGLEWOOD 90305",,
"4831 S GRAMERCY PL, LOS ANGELES 90062",,
"347 S NORMANDIE AVE, LOS ANGELES 90020",,
"351 E 6TH ST, LONG BEACH 90802",,
"1340 11 TH ST, MANHATTAN BEACH 90266",,
"132 N EUCLID AVE, PASADENA 91101",,
"100 N PACIFIC COAST HWY, REDONDO BEACH 90277",,
"4191 COCHRAN ST, SIMI 93063",,
"8701 FOOTHILL BLVD, SUNLAND 91040",,
"3333 SKYPARK DR, TORRANCE 90505",,
"2900 N CARSON ST, TORRANCE 90503",,
"1038 N MACLAY ST, SAN FERNANDO 91340",,
"2120 EL SERENO ST, ALTADENA 91001",,
"14525 S BELLFLOWER BLVD, BELLFLOWER 90706",,
"8400 GREGORY WAY, BEVERLY HILLS 90211",,
"20600 ROSCOE BLVD, CANOGA PARK 91306",,
"9635 VENICE BLVD, CULVER CITY 90032",,
"4464 SEPULVEDA BLVD RM 7, CULVER CITY 90230",,
"2151 DIAMOND BAR BLVD, DIAMOND BAR 91765",,
"10164 BODGER ST, EL MONTE 91733",,
"612 CANADA TRAIL, FRAZIER PARK 93225",,
"13560 HAWTHORNE BLVD, HAWTHORNE 90250",,
"511 W AVE 46, HIGHLAND PARK 90065",,
"4014 MELROSE AVE, HOLLYWOOD 90004",,
"309 S OXFORD AVE, LOS ANGELES 90020",,
"735 S PLYMOUTH, LOS ANGELES 90005",,
"303 S PECK AVE, MANHATTAN BEACH 90266",,
"2200 VIA ROSA, PALOS VERDES 90274",,
"1757 N LAKE AVE, PASADENA 91104",,
"1100 N AVENUE 64, PASADENA 90042",,
"2900 E DEL MAR BLVD, PASADENA 91107",,
"789 N ALTADENA DR, PASADENA 91107",,
"2221 PALOS VERDES DR N, ROLLING HILLS 90274",,
"14115 MAGNOLIA BLVD, SHERMAN OAKS 91423",,
"4704 TWEEDY BLVD, SOUTH GATE 90280",,
"16865 PACIFIC COAST HWY, SUNSET BEACH 92649",,
"13770 SAYRE ST, SYLMAR 91342",,
"14450 OLIVE VIEW DR, SYLMAR 91342",,
"6825 KESTER AVE, VAN NUYS 91405",,
"681 VENICE BLVD, VENICE 90291",,
"1200 N VISTA ST, LOS ANGELES 90046",,
"32111 WATERGATE RD, WESTLAKE VILLAGE 91361",,
"300 IMPERIAL, BREA 92821",,
"E BONITA AVE  and  N MOUNTAIN AVE, CLAREMONT 91711",,
"9813 PARAMOUNT BLVD, DOWNEY 90240",,
"17114 VENTURA BLVD, ENCINO 91316",,
"9842 W 13TH ST, GARDEN GROVE 92844",,
"7929 MELROSE AVE, HOLLYWOOD 90046",,
"4450 W ADAMS BLVD, LOS ANGELES 90016",,
"1147 S ALVARADO ST, LOS ANGELES 90006",,
"5881 S CHERRY AVE, LONG BEACH 90805",,
"5875 APPIAN WAY EAST, LONG BEACH 90803",,
"3700 E SIERRA MADRE BLVD, PASADENA 91107",,
"5969 BROCKTON, RIVERSIDE 92506",,
"32202 DEL OBISPO, SAN JUAN CAPISTRANO 92675",,
"7TH AND WILSHIRE, SANTA MONICA 90403",,
"26640 BOUQUET CANYON, SAUGUS 91350",,
"10TH  and  S COAST HWY, SEAL BEACH 90740",,
"8140 SUNLAND BLVD, SUN VALLEY 91352",,
"14646 SHERMAN WAY, VAN NUYS 91405",,
"8420 SUNSET BLVD, LOS ANGELES 90069",,
"5650 SHOUP AVE, WOODLAND HILLS 91367",,
"515 W BALBOA BLVD, NEWPORT BEACH 92661",,
"225 GRANDVIEW ST, PASADENA 91104",,
"520 S LARK ELLEN AVE, WEST COVINA 91791",,
"10925 VALLEY HOME AVE, WHITTIER 90603",,
"4747 E 56TH ST, MAYWOOD 90270",,
"5415 S MAIN ST, LOS ANGELES 90011",,
"31290 PALOS VERDES DR W, RANCHO PALOS VERDES 90275",,
"480 W GAINSBOROUGH, THOUSAND OAKS 91360",,
"100 N 3RD AVE, COVINA 91723",,
"1721 ARIZONA AVE, SANTA MONICA 90404",,
"27265 LUTHER DR, CANYON COUNTRY (SAUGUS AREA) 91351",,
"400 WEST BEACH AVE, INGLEWOOD 90302",,
"1749 N LA BREA AVE, HOLLYWOOD 90046",,
"5757 WILSHIRE BLVD, LOS ANGELES 90036",,
"444 N REXFORD DR, BEVERLY HILLS 90210",,
"101 S HILL AVE, PASADENA 91106",,
"285 W HUNTINGTON DR, ARCADIA 91007",,
"3625 WINTER CANYON ROAD, MALIBU 90265",,
"827 S LONE HILL AVE, GLENDORA 91740",,
"4445 NOBLE AVE, SHERMAN OAKS 91403",,
"34709 AGUA DULCE CANYON RD, AGUA DULCE 91301",,
"2828 MAGNOLIA BLVD, BURBANK 91505",,
"1226 N ALVARADO ST, ECHO PARK 90026",,
"3555 S WESTERN AVE, LOS ANGELES 90732",,
